iter	Passed	Remaining
0	5	5834
1	10	5054
2	16	5365
3	21	5247
4	25	5056
5	30	5084
6	36	5117
7	43	5434
8	51	5619
9	54	5417
10	58	5273
11	63	5231
12	89	6773
13	131	9279
14	144	9496
15	167	10279
16	223	12914
17	252	13757
18	271	14010
19	277	13608
20	281	13119
21	285	12679
22	288	12244
23	290	11825
24	293	11450
25	297	11137
26	300	10836
27	303	10546
28	306	10277
29	310	10036
30	314	9830
31	318	9638
32	321	9426
33	324	9227
34	327	9041
35	331	8866
36	334	8703
37	337	8536
38	340	8389
39	343	8240
40	346	8101
41	349	7966
42	352	7836
43	355	7717
44	358	7599
45	361	7493
46	364	7391
47	367	7288
48	370	7190
49	374	7107
50	377	7025
51	380	6943
52	383	6857
53	387	6782
54	391	6727
55	395	6658
56	398	6588
57	403	6548
58	407	6491
59	410	6428
60	414	6381
61	418	6335
62	424	6309
63	427	6257
64	431	6205
65	434	6152
66	438	6111
67	444	6086
68	447	6037
69	450	5987
70	454	5941
71	457	5899
72	462	5870
73	464	5818
74	467	5770
75	471	5727
76	474	5690
77	478	5657
78	482	5625
79	486	5598
80	489	5556
81	493	5524
82	496	5483
83	499	5445
84	502	5409
85	505	5369
86	508	5332
87	510	5295
88	513	5258
89	516	5219
90	518	5183
91	521	5148
92	524	5112
93	526	5076
94	529	5041
95	531	5006
96	534	4972
97	537	4943
98	539	4912
99	542	4880
100	544	4849
101	547	4818
102	549	4788
103	552	4758
104	554	4728
105	557	4700
106	559	4672
107	562	4644
108	564	4617
109	567	4591
110	570	4565
111	572	4538
112	574	4513
113	577	4487
114	579	4462
115	582	4440
116	585	4416
117	587	4392
118	589	4367
119	592	4343
120	594	4321
121	597	4298
122	599	4275
123	602	4253
124	604	4230
125	606	4206
126	608	4184
127	610	4162
128	613	4141
129	615	4121
130	618	4100
131	620	4078
132	622	4059
133	625	4040
134	627	4020
135	629	4001
136	632	3982
137	634	3961
138	636	3942
139	638	3922
140	640	3903
141	642	3884
142	645	3866
143	647	3848
144	649	3830
145	651	3812
