지점,지점명,일시,최고기온(°C),일강수량(mm),평균 상대습도(%),합계 일조시간(hr)
119,수원,2021-01-27,6.2,,60.5,8.5
119,수원,2021-01-28,1.6,2.3,61.9,3.7
119,수원,2021-01-29,-4.6,,49.3,9.8
119,수원,2021-01-30,6.6,0,68.9,6.1
119,수원,2021-01-31,10.5,,70.5,7.5
119,수원,2021-02-01,9.9,1.7,89,2.3
119,수원,2021-02-02,-1.2,.1,52.6,9.8
119,수원,2021-02-03,1.7,3.8,69.4,8.8
119,수원,2021-02-04,.8,1.6,54.8,10
119,수원,2021-02-05,6.6,,71.6,5.5
119,수원,2021-02-06,10.2,,80.8,2.5
119,수원,2021-02-07,7.2,,78.3,6.1
119,수원,2021-02-08,.6,,45.3,10.2
119,수원,2021-02-09,4,,56.8,10.1
119,수원,2021-02-10,7.4,,78.6,1
119,수원,2021-02-11,11.3,,82.4,7.1
119,수원,2021-02-12,14.1,,72.4,9.1
119,수원,2021-02-13,15.7,,73.6,9.4
119,수원,2021-02-14,14,0,63.8,1.1
119,수원,2021-02-15,6.6,.6,71.8,6.8
119,수원,2021-02-16,-2.5,1.9,67.4,3.5
119,수원,2021-02-17,-5,,53.5,10.3
119,수원,2021-02-18,-.8,,53.4,9.6
119,수원,2021-02-19,9.3,,73,10.1
119,수원,2021-02-20,14.4,,64.9,7.7
119,수원,2021-02-21,18.5,,69.8,9.9
119,수원,2021-02-22,12.7,,67.8,7.4
119,수원,2021-02-23,4.1,,41.8,10.2
119,수원,2021-02-24,10.2,,45.9,9.1
119,수원,2021-02-25,8.6,,57.8,0
119,수원,2021-02-26,15.6,,40.1,9.3
119,수원,2021-02-27,14.6,,51.1,10.1
119,수원,2021-02-28,10.7,,54.3,2.1
119,수원,2021-03-01,8.1,70.7,97.5,0
119,수원,2021-03-02,6.8,.2,81.6,6.1
119,수원,2021-03-03,9.5,,75.3,9.9
119,수원,2021-03-04,12.2,,70.9,2.3
119,수원,2021-03-05,16,,80.3,10.7
119,수원,2021-03-06,12.6,,,3.3
119,수원,2021-03-07,10.8,,72.1,8.1
119,수원,2021-03-08,13.3,,76,8.5
119,수원,2021-03-09,11.7,,69.6,8.6
119,수원,2021-03-10,16.8,,73.1,10.1
119,수원,2021-03-11,17.3,,62.3,7.6
119,수원,2021-03-12,12.9,.2,70,.6
119,수원,2021-03-13,14.2,,72.9,7.7
119,수원,2021-03-14,13.4,,81.6,7.9
119,수원,2021-03-15,16.1,.2,75.4,5
119,수원,2021-03-16,12.5,2.4,61.6,10.8
119,수원,2021-03-17,16.8,,58.8,10.8
119,수원,2021-03-18,18.8,,61.1,9.2
119,수원,2021-03-19,19.4,,54.1,9.2
119,수원,2021-03-20,13.5,3.7,84,0
119,수원,2021-03-21,8.9,,73.1,6.8
119,수원,2021-03-22,11.1,,63.9,11.5
119,수원,2021-03-23,16.5,,70.9,10.5
119,수원,2021-03-24,17.5,,70.8,8.2
119,수원,2021-03-25,18.8,,79.1,10.9
119,수원,2021-03-26,21.2,,66.4,7.6
119,수원,2021-03-27,15.6,20.1,82.8,0
119,수원,2021-03-28,13.4,5.2,98,0
119,수원,2021-03-29,15.4,.1,71.3,7.2
119,수원,2021-03-30,18.3,,57.3,11
119,수원,2021-03-31,22.9,,54.8,11.3
119,수원,2021-04-01,23.8,,39.1,10.4
119,수원,2021-04-02,22.3,,40,2.9
119,수원,2021-04-03,18.6,46.7,85.4,0
119,수원,2021-04-04,15.8,.5,68.3,2.6
119,수원,2021-04-05,18.3,,51.4,12
119,수원,2021-04-06,18.6,,61,10.8
119,수원,2021-04-07,20.3,,62.3,11.7
119,수원,2021-04-08,17.5,,56.8,12.1
119,수원,2021-04-09,19,,50.6,11.8
