瘤痢,瘤痢疙,老矫,弥绊扁柯(∑C),老碍荐樊(mm),乞闭 惑措嚼档(%),钦拌 老炼矫埃(hr)
192,柳林,2016-02-01,5,,43.9,9.1
192,柳林,2016-02-02,6.2,,47.5,9.5
192,柳林,2016-02-03,7.7,,57.1,9.5
192,柳林,2016-02-04,7.7,,53.4,6.3
192,柳林,2016-02-05,9.6,,44.4,9.6
192,柳林,2016-02-06,5.9,,48.3,9.7
192,柳林,2016-02-07,7.1,,50.9,9.7
192,柳林,2016-02-08,8.5,,47.6,9.7
192,柳林,2016-02-09,9.3,,26.1,9.9
192,柳林,2016-02-10,12,,47.5,9.9
192,柳林,2016-02-11,14.4,,57.1,6.8
192,柳林,2016-02-12,14.4,62.8,88,0
192,柳林,2016-02-13,15.3,9.9,90.5,0
192,柳林,2016-02-14,14.6,,53.6,2.6
192,柳林,2016-02-15,2.3,,38.4,10.1
192,柳林,2016-02-16,5.4,,59.6,6.5
192,柳林,2016-02-17,8.1,,49.8,10.3
192,柳林,2016-02-18,10.3,,61.8,9.9
192,柳林,2016-02-19,13.7,,58.9,6.8
192,柳林,2016-02-20,12.7,,42.9,5.6
192,柳林,2016-02-21,8.2,,35.8,10.1
192,柳林,2016-02-22,7,,45.5,.2
192,柳林,2016-02-23,11.9,,39.5,8
192,柳林,2016-02-24,7.1,,29.9,10.4
192,柳林,2016-02-25,7.6,,32.8,10.5
192,柳林,2016-02-26,8.3,,61,5.1
192,柳林,2016-02-27,14.2,.7,49.8,9.3
192,柳林,2016-02-28,13.6,3,67.1,4.6
192,柳林,2016-02-29,3.5,,43.8,7.1
192,柳林,2016-03-01,6.8,,44,10.8
192,柳林,2016-03-02,11.8,,49.6,10.7
192,柳林,2016-03-03,16,0,61.9,10.4
192,柳林,2016-03-04,9.7,36.1,88.4,0
192,柳林,2016-03-05,15.7,43.1,87.6,0
192,柳林,2016-03-06,19.5,1.3,81.5,4.3
192,柳林,2016-03-07,17.7,,67.8,5.1
192,柳林,2016-03-08,11.3,3.3,65.1,0
192,柳林,2016-03-09,12.6,6.8,56.6,6.6
192,柳林,2016-03-10,8.5,,33,9.1
192,柳林,2016-03-11,8.4,,34.1,10.9
192,柳林,2016-03-12,10.1,,43.9,10.8
192,柳林,2016-03-13,8.8,,51.3,0
192,柳林,2016-03-14,13.9,,50.5,10.6
192,柳林,2016-03-15,14.5,,49.1,9.7
192,柳林,2016-03-16,16.7,,53.1,8.8
192,柳林,2016-03-17,18.7,,55.3,9.5
192,柳林,2016-03-18,12.1,27.6,89.3,0
192,柳林,2016-03-19,18.9,,71.5,5.7
192,柳林,2016-03-20,13.6,,68.3,.3
192,柳林,2016-03-21,16.6,,62.5,10.1
192,柳林,2016-03-22,18.4,,64.5,9.4
192,柳林,2016-03-23,17.2,,52.3,9.7
192,柳林,2016-03-24,12.6,0,45.6,5.9
192,柳林,2016-03-25,11.5,2.8,70.8,3.7
192,柳林,2016-03-26,13.4,,56.1,9
192,柳林,2016-03-27,15.4,,53.4,9.6
192,柳林,2016-03-28,17.5,,49.9,11.2
192,柳林,2016-03-29,15.9,,60,4.3
192,柳林,2016-03-30,21.6,,53.6,9.4
192,柳林,2016-03-31,20.9,,61.9,5.4
192,柳林,2016-04-01,24.3,,57.3,10.9
192,柳林,2016-04-02,20.1,,68.8,8.2
192,柳林,2016-04-03,13.5,37.8,86.6,0
192,柳林,2016-04-04,13.8,2.6,81.9,0
192,柳林,2016-04-05,20.2,,66.8,8.6
