지점,지점명,일시,최고기온(°C),일강수량(mm),평균 상대습도(%),합계 일조시간(hr)
192,진주,2021-01-27,11.4,,61.5,8.9
192,진주,2021-01-28,10.7,,58.1,7.3
192,진주,2021-01-29,3,,39.4,9.2
192,진주,2021-01-30,9.1,,69.4,6.1
192,진주,2021-01-31,12.2,1,74.6,8.6
192,진주,2021-02-01,10.6,16,84.5,.3
192,진주,2021-02-02,7.5,,36,9.4
192,진주,2021-02-03,5.1,,56.3,9.5
192,진주,2021-02-04,10,,50.3,9.4
192,진주,2021-02-05,8,,52.5,5.3
192,진주,2021-02-06,15,,70.6,9.6
192,진주,2021-02-07,15,,65.1,9.3
192,진주,2021-02-08,6.6,,28.6,9.7
192,진주,2021-02-09,9.1,,46.6,9.8
192,진주,2021-02-10,13,,57.9,9.7
192,진주,2021-02-11,11.6,,67.8,3.1
192,진주,2021-02-12,16.1,,63.9,7.6
192,진주,2021-02-13,19.9,,57.5,9.9
192,진주,2021-02-14,15.2,3.7,76.4,.8
192,진주,2021-02-15,12.5,0,66.1,7.2
192,진주,2021-02-16,8.1,0,57.5,8.9
192,진주,2021-02-17,.2,,40.4,9.7
192,진주,2021-02-18,2.7,,47.1,10
192,진주,2021-02-19,13.2,,57.6,10.1
192,진주,2021-02-20,19.9,,61.6,9.9
192,진주,2021-02-21,23.3,,58.6,10
192,진주,2021-02-22,21.8,,55.3,10
192,진주,2021-02-23,14.3,,29.5,8.9
192,진주,2021-02-24,11.6,,40.5,2.9
192,진주,2021-02-25,8.3,2.6,77.5,0
192,진주,2021-02-26,13.9,2.4,67.9,4.4
192,진주,2021-02-27,12.5,,58.6,4.7
192,진주,2021-02-28,11.8,.2,77.1,1.1
192,진주,2021-03-01,16,38.6,95.4,0
192,진주,2021-03-02,10.8,1.9,76.3,7.9
192,진주,2021-03-03,11.1,,71.6,10
192,진주,2021-03-04,8.5,7.5,90,0
192,진주,2021-03-05,20,,77.5,10.1
192,진주,2021-03-06,15.8,,74.8,5.4
192,진주,2021-03-07,11.8,,71,4.1
192,진주,2021-03-08,15.6,,71.5,9.6
192,진주,2021-03-09,15.3,,70,7.5
192,진주,2021-03-10,18.1,,63.8,10.5
192,진주,2021-03-11,17.6,.7,71.1,8.9
192,진주,2021-03-12,10.5,25.2,90.1,0
192,진주,2021-03-13,16.9,,75,10.4
192,진주,2021-03-14,17.8,,74.1,8.8
192,진주,2021-03-15,17.3,.3,77.4,10.1
192,진주,2021-03-16,22.2,1.8,64.5,8.8
192,진주,2021-03-17,19.2,,61,10.1
192,진주,2021-03-18,19.4,,72.6,10.7
192,진주,2021-03-19,19.6,,62.6,8.9
192,진주,2021-03-20,11.8,12.8,92.9,0
192,진주,2021-03-21,13.6,,54.9,9.5
192,진주,2021-03-22,12.7,,40.6,11.1
192,진주,2021-03-23,18.6,,55.8,11
192,진주,2021-03-24,17.5,,67.4,7.6
192,진주,2021-03-25,21.8,,64.3,10.9
192,진주,2021-03-26,23.8,,58.4,11
192,진주,2021-03-27,16.2,68.4,90.9,.2
192,진주,2021-03-28,20.4,2,67.9,11.1
192,진주,2021-03-29,20.2,,59.4,9.3
192,진주,2021-03-30,22,,52.3,8.8
192,진주,2021-03-31,22.2,,65,10.5
192,진주,2021-04-01,21.4,,53.3,6.5
192,진주,2021-04-02,22.4,0,56.9,7.9
192,진주,2021-04-03,17.3,35.6,91,0
192,진주,2021-04-04,16.5,7.9,91.1,0
192,진주,2021-04-05,17.8,,58.9,11.1
192,진주,2021-04-06,21.1,,60,7.8
192,진주,2021-04-07,22.7,,58.6,11.2
192,진주,2021-04-08,21.8,,64.1,10.6
192,진주,2021-04-09,19.2,,66,8.5
