지점,지점명,일시,최고기온(°C),일강수량(mm),평균 상대습도(%),합계 일조시간(hr)
119,수원,2016-02-01,-.4,,40.4,9
119,수원,2016-02-02,2.3,,47.8,9.8
119,수원,2016-02-03,5.4,,61.9,8.1
119,수원,2016-02-04,6.2,,60.6,8.9
119,수원,2016-02-05,4.2,0,45.8,8.5
119,수원,2016-02-06,2.8,.3,44.6,9.9
119,수원,2016-02-07,3.9,,56.5,9.8
119,수원,2016-02-08,7.3,0,63.3,3.9
119,수원,2016-02-09,7.5,,56.6,9.9
119,수원,2016-02-10,10.9,,54.6,10
119,수원,2016-02-11,14.8,.2,35.3,4.5
119,수원,2016-02-12,10.9,27.4,94.8,0
119,수원,2016-02-13,16.6,14.3,95.9,.4
119,수원,2016-02-14,4.5,0,73.5,.9
119,수원,2016-02-15,-.5,.1,54.4,10.3
119,수원,2016-02-16,3.4,.5,78.5,3.1
119,수원,2016-02-17,6.2,,62.5,10.3
119,수원,2016-02-18,8.6,,70.4,4.3
119,수원,2016-02-19,4.9,,78.6,0
119,수원,2016-02-20,8.4,,44,9.2
119,수원,2016-02-21,5.5,,40,10.2
119,수원,2016-02-22,4.9,.1,38.4,0
119,수원,2016-02-23,7.1,.3,63.3,8.2
119,수원,2016-02-24,2.4,,46.4,10.7
119,수원,2016-02-25,5.9,0,59.8,8.1
119,수원,2016-02-26,8.1,1.1,47.9,9.7
119,수원,2016-02-27,7.9,5.3,78.3,5.9
119,수원,2016-02-28,7.6,3,75.8,.2
119,수원,2016-02-29,0,0,50.1,8.5
119,수원,2016-03-01,3.5,,51.6,10.4
119,수원,2016-03-02,9.8,,73,6.3
119,수원,2016-03-03,13.7,,70.6,4.4
119,수원,2016-03-04,19.7,3.6,63.6,9
119,수원,2016-03-05,15.1,51.2,94.4,0
119,수원,2016-03-06,14.6,0,63.3,8.4
119,수원,2016-03-07,12.5,0,49.3,.5
119,수원,2016-03-08,7,,44.8,0
119,수원,2016-03-09,7.3,,37.8,9.6
